Model,Fold,Test R2,Test MAE,Test MSE,Fit Time,Score Time,kwargs
TREENN1,0,-0.023340500693704858,6.255843525871203,75.04543037704848,4.227379083633423,0.0005273818969726562,"{'hidden_dim': 10, 'max_iter': 4000, 'learning_rate_init': 0.01}"
TREENN2,0,0.7277700469102486,2.682816812472155,19.963652349628717,3.7435944080352783,0.00046563148498535156,"{'hidden_dim': 10, 'max_iter': 4000, 'learning_rate_init': 0.01}"
TREENN3,0,0.2396711289464687,5.357966402109542,55.75779256037282,3.8360304832458496,0.0005025863647460938,"{'hidden_dim': 10, 'max_iter': 4000, 'learning_rate_init': 0.01}"
PureMLP,0,0.6581284973561388,3.431584346991427,25.0707306435787,8.09752368927002,0.0007493495941162109,"{'hidden_layer_sizes': (10,), 'max_iter': 4000, 'learning_rate_init': 0.01, 'random_state': 42, 'n_iter_no_change': 4000}"
