Model,R² Score,MAE,MSE,Time (s)
TREENN1,0.3932254704760143,4.607670705920787,44.49707177531894,8.87138843536377
TREENN2,0.7253160610633789,2.622603126497186,20.14361241560157,8.532940864562988
TREENN3,0.7372614249349108,2.3762958718883893,19.267613691675486,8.009069919586182
FONN1,0.5761572389696724,4.280653008115021,31.08199313147062,41.99971127510071
FONN2,0.7201519841048298,2.837898515263902,20.522313715503024,30.233234405517578
FONN3,0.7012736799503748,3.5816242179506887,21.90673117880045,38.80039954185486
PureMLP,0.7227201937673342,3.402703924315937,20.333977185002677,18.147602796554565
