model,mean_fit_time,mean_score_time,mean_train_score,mean_test_score
Tree,0.0026542345682779946,0.0008850892384847006,-1.3688946901187544,-3.581046777522802
Ensemble_sk_identity 10,0.011910518010457357,0.0010710557301839192,-0.5014357015397538,-2.9283726824335443
MLP_sk_identity 10,0.05887484550476074,0.0008672078450520834,-2.336700434986136,-2.9707098800022482
FONN1_sk_identity 5 10,0.055180867513020836,0.002270301183064779,-0.575004196337904,-3.103441256951608
FONN2_sk_identity 5 10,0.25562413533528644,0.0007429122924804688,-2.267972681099826,-3.3912347925092328
Ensemble_sk_standard 10,0.012163956960042318,0.0010816256205240886,-0.5074864133171083,-2.7887865517685846
MLP_sk_standard 10,0.06413729985555013,0.0008618036905924479,-1.2390921244346034,-3.5438220706969177
FONN1_sk_standard 5 10,0.0494994322458903,0.0011684099833170574,-0.5109237235379468,-3.153571080236144
FONN2_sk_standard 5 10,0.2578255335489909,0.000785668690999349,-1.648459854930546,-3.1015493581728415
