model,mse_StoreWeekSalesmargbutr_6001821,mse_StoreWeekSalesmargbutr_648368,mse_StoreWeekSalesmargbutr_279300,mse_StoreWeekSalesmargbutr_400003,mse_StoreWeekSalesmargbutr_270862,mse_StoreWeekSalesmargbutr_231720,mse_StoreWeekSalesmargbutr_252570,mse_StoreWeekSalesmargbutr_659827,mse_StoreWeekSalesmargbutr_241565,mse_StoreWeekSalesmargbutr_237277,mse_StoreWeekSalesmargbutr_291276,mse_StoreWeekSalesmargbutr_273920,mse_StoreWeekSalesmargbutr_232633,mse_StoreWeekSalesmargbutr_233246,mse_StoreWeekSalesmargbutr_532639,mse_StoreWeekSalesmargbutr_533864,mse_StoreWeekSaleslaundet_6001821,mse_StoreWeekSaleslaundet_648368,mse_StoreWeekSaleslaundet_279300,mse_StoreWeekSaleslaundet_400003,mse_StoreWeekSaleslaundet_270862,mse_StoreWeekSaleslaundet_231720,mse_StoreWeekSaleslaundet_252570,mse_StoreWeekSaleslaundet_659827,mse_StoreWeekSaleslaundet_241565,mse_StoreWeekSaleslaundet_237277,mse_StoreWeekSaleslaundet_291276,mse_StoreWeekSaleslaundet_273920,mse_StoreWeekSaleslaundet_232633,mse_StoreWeekSaleslaundet_233246,mse_StoreWeekSaleslaundet_532639,mse_StoreWeekSaleslaundet_533864,Mean,Stddev
Tree,0.5452366561200132,0.5545531753434778,0.812628120618076,0.6585755013862346,0.7747596136351088,0.40447847777431956,0.4137518655807561,0.5031867062546284,0.41555197379398745,0.6256871801147472,0.5658513963357534,0.5920978374724292,0.5689199186436182,0.7518588385066095,0.531918771990674,0.43496583918279214,1.4242269426259313,0.9756655040848422,0.7978430675191374,1.6014489342186735,0.660127094017441,0.7511445386811854,0.6359716677296561,0.8067264063234868,1.5675135537714915,1.121979654984768,1.8621335727821815,1.4778851483957098,0.5670138828052302,1.6430400414684767,1.5930146563972702,1.3624462981253054,0.8750688386463754,0.4398962915652867
Ensemble 5,0.3458046684229188,0.35299662751973426,0.4997827524550869,0.3771945253492149,0.39772507914733723,0.16832267938080647,0.3143228264289993,0.28185496885134587,0.3156643527185027,0.32159398020106184,0.2545844172967474,0.2877408819715345,0.3484892755363598,0.4552727148835613,0.3697611138296488,0.30813492712788604,0.9945705716367123,0.6409975005085085,0.6727425936266447,1.1387161457458692,0.39254486667329186,0.40916085395681917,0.5683121427362986,0.477182156306696,1.1167456803848157,0.7746017299778382,0.9170499629051093,1.095100551845542,0.6305695671564542,1.2152206401340298,1.1358808325133782,0.6857418520198696,0.5707619824765195,0.31269609424686573
MLP 5,0.34400531285074476,0.34902163121823776,0.4091789916239324,0.33187480289015414,0.5481749757285016,0.40456909497684984,0.2889066086921808,0.252268293029185,0.23440290569751507,0.3929739581543807,0.2106765484078396,0.2862116133044795,0.2950354370680688,0.34877226896050484,0.34503990498275344,0.30316500047518025,1.089853600426854,0.6461399088406602,0.402125786253323,1.0046963864681862,0.4809274548641022,0.8306305064415814,0.548762917360925,0.4313705315605458,0.9715346364787999,0.857162909220254,0.8462688395578182,0.8571470703174863,0.5299149810502201,1.0142302723285754,0.7846720978196889,0.601430615682767,0.5387858082103842,0.2661724636684792
FONN1 5 5,0.3871316053072464,0.44735154023986506,0.801176372373738,0.3652494100730952,0.49566200485323636,0.23839234002888632,0.3544307493778911,0.3792608994783441,0.32552973540078994,0.39192941590297464,0.3345601619838987,0.3727343842493585,0.3708686482203927,0.4367453278722837,0.4055258591516206,0.36198404480756147,1.2146276517419674,0.6592185458241199,0.7440726034873034,1.362394665969233,0.4505691811752972,0.39260550530698174,0.5673779727246684,0.43726199681781214,1.1488641037584262,0.774772098735301,1.2842113942565023,1.3912341278977183,0.5835817410890742,1.2606073065607766,1.2569732260447277,0.7267800558213086,0.6476151461416375,0.36558390846656535
FONN2 5 5,0.3664989084463246,2.4271059919267617,0.5519242998525041,0.35134862412689843,0.3343793709873862,0.36642866417832026,0.4345874954654445,0.31010849265529944,0.27433063642285277,0.47718159855902603,0.2163069745955648,0.3132099715801649,0.4885669489601112,0.35311386658349475,0.37228494900653786,0.3165838870700978,1.2668330815598685,0.5530118021533774,0.4740862180855263,1.053221428985223,0.4076329537169297,0.5760253588296557,0.5653250897752337,0.43015768436781204,0.8480498145994281,0.7323104639021404,0.8298824974619005,0.8895577412693361,0.42742218423573175,0.9355361720140211,0.8231661006789519,0.7862010718842617,0.6110118857480059,0.4182953590788957
TREENN1 5,0.4948602475562858,1.8219087095566036,0.7266027691666479,0.3961285223341353,0.6187717851198289,0.30870051936599746,0.40683504633042,0.2678410863189999,0.3153710354786372,0.424713164666003,0.34080816319964113,0.3997843929314164,0.3836802579104988,0.5329160821615676,0.400501246116533,0.41694146352538813,1.113498975602018,0.6955480011097607,0.5864751253227866,1.0993789713310214,0.41088363907707653,0.48590554050578905,0.5695891481121382,0.47368231837431574,1.1356470501993035,0.7459498385151894,0.9291430625978075,1.013216216974717,0.47958001472323125,1.1442982380706526,1.0190822168830804,0.6446662110879898,0.6500909081320463,0.3464847098470415
TREENN2 5,0.3613630409153477,0.5419095715875066,0.40634510553078895,0.3372532497108391,0.4031800824288019,0.598712554522321,0.5266780400093019,0.2579457080251724,0.1852442976270726,0.4278352939976271,0.20431793724506475,0.30157183289116635,0.4131254078474822,0.32182291945474817,0.44755249290174137,0.2892263518016252,0.9767194355576727,0.6048980815910339,0.39339371031699244,1.0297154430344106,0.5739529751510103,0.6275718413743445,0.5662889315122402,0.5044503719891246,0.9472808689176713,0.7321052971165827,0.7687016963401566,0.9366471459766942,0.5268361722704973,0.9598855823782552,0.9119545422607792,0.6268969845402551,0.5534807177132602,0.24309061175777585
Ensemble 10,0.38341971042903095,0.3732505820225311,0.45730983779357987,0.33531301265727054,0.413693249140376,0.17874459438567372,0.2324413821351391,0.29345825864057284,0.2668234049797947,0.2916575217885668,0.277048487897911,0.28860483325211733,0.3030780648086476,0.4312359391684382,0.3578212584672786,0.31820195562041564,0.9749044418044811,0.6334913804478088,0.5818957359900695,1.0467040212990903,0.33471885149060276,0.4342714661643048,0.4884571339160126,0.39085248151360635,0.9950410390570098,0.6642662806428516,0.9267888528476158,1.0351289859700392,0.4859928227315479,1.23343683757989,0.9244113364197203,0.6915590312419856,0.5326257122594993,0.29107820956169933
MLP 10,0.34068482130364036,0.40314748671719675,0.4661407996466422,0.3305401751146862,0.27055339520805327,0.3065071753832313,0.32281064167888024,0.3075000244965871,0.21894054782410513,0.3272431675351504,0.21597344818767403,0.39990549873284414,0.3499787309734355,0.3908760790794215,0.34166967644702134,0.2544279125075694,0.9310689105567688,0.5224810074909384,0.3996646078973876,1.0431984858900505,0.4351207492046145,0.4845818645213577,0.4919779433744189,0.40371947252258655,0.7983047205694321,0.8488212771804949,0.6883548026021753,0.8386381597430451,0.6576878666264084,1.1432131977150322,0.7428557094094824,0.5763882435429319,0.507905518740102,0.24821539121472908
FONN1 5 10,0.3816814464441665,0.6290809912563371,0.5363711560898036,0.41316875275528725,0.5668149593352724,0.3895814681491059,0.3626416781668811,0.3754444251073779,0.30699067385760515,0.3856805450581513,0.3372168412631065,0.34600847991037825,0.42798632708064427,0.5869943089084604,0.3702982310996185,0.3478725089636104,1.3272391764815943,0.7699170966960535,0.6693933738026739,1.3139529807649217,0.3664204043852146,0.33725273327709687,0.6534377108003372,0.41572487225687066,1.2999322902557982,0.8896302093662433,1.2495540788032595,1.1961342775472155,0.5668702986421014,1.575820319863647,1.024512032349895,0.8301629162857086,0.6640558614070137,0.37200606461770974
