model,mean_fit_time,mean_score_time,mean_train_score,mean_test_score
Tree,0.006027698516845703,0.0018273989359537761,-2.9906845428614504,-6.9302473138999
Ensemble_sk 10,0.03215710322062174,0.0023918946584065757,-1.2784317439967083,-5.333728522337307
MLP_sk 10,0.3741445541381836,0.002651055653889974,-5.172091819750798,-15.467284733813074
FONN1_sk 5 10,0.2361752986907959,0.0033150513966878257,-1.8420882014228717,-8.436857234526341
FONN2_sk 5 10,0.6135376294453939,0.002419630686442057,-7.983242369726338,-30.413835274669
MLP_sk_target_standard 10,0.3901670773824056,0.002078533172607422,-2.3278982161575326,-13.774806766647282
FONN1_sk_target_standard 5 10,0.35502854983011883,0.002780437469482422,-1.428343141456635,-5.2875451278906285
"FONN2_sk_target, standard 5 10",0.8288087844848633,0.0027305285135904946,-4.116033509860645,-28.861258492202285
