model,Avg mse,mse_StoreWeekSalesmargbutr_6001821,mse_StoreWeekSalesmargbutr_648368,mse_StoreWeekSalesmargbutr_279300,mse_StoreWeekSalesmargbutr_400003,mse_StoreWeekSalesmargbutr_270862,mse_StoreWeekSalesmargbutr_231720,mse_StoreWeekSalesmargbutr_252570,mse_StoreWeekSalesmargbutr_659827,mse_StoreWeekSalesmargbutr_241565,mse_StoreWeekSalesmargbutr_237277,mse_StoreWeekSalesmargbutr_291276,mse_StoreWeekSalesmargbutr_273920,mse_StoreWeekSalesmargbutr_232633,mse_StoreWeekSalesmargbutr_233246,mse_StoreWeekSalesmargbutr_532639,mse_StoreWeekSalesmargbutr_533864,mse_StoreWeekSaleslaundet_6001821,mse_StoreWeekSaleslaundet_648368,mse_StoreWeekSaleslaundet_279300,mse_StoreWeekSaleslaundet_400003,mse_StoreWeekSaleslaundet_270862,mse_StoreWeekSaleslaundet_231720,mse_StoreWeekSaleslaundet_252570,mse_StoreWeekSaleslaundet_659827,mse_StoreWeekSaleslaundet_241565,mse_StoreWeekSaleslaundet_237277,mse_StoreWeekSaleslaundet_291276,mse_StoreWeekSaleslaundet_273920,mse_StoreWeekSaleslaundet_232633,mse_StoreWeekSaleslaundet_233246,mse_StoreWeekSaleslaundet_532639,mse_StoreWeekSaleslaundet_533864,mse_StoreWeekSalesyogurt_6001821,mse_StoreWeekSalesyogurt_648368,mse_StoreWeekSalesyogurt_279300,mse_StoreWeekSalesyogurt_400003,mse_StoreWeekSalesyogurt_270862,mse_StoreWeekSalesyogurt_231720,mse_StoreWeekSalesyogurt_252570,mse_StoreWeekSalesyogurt_659827,mse_StoreWeekSalesyogurt_241565,mse_StoreWeekSalesyogurt_237277,mse_StoreWeekSalesyogurt_291276,mse_StoreWeekSalesyogurt_273920,mse_StoreWeekSalesyogurt_232633,mse_StoreWeekSalesyogurt_233246,mse_StoreWeekSalesyogurt_532639,mse_StoreWeekSalesyogurt_533864,mse_StoreWeekSalespaptowl_6001821,mse_StoreWeekSalespaptowl_648368,mse_StoreWeekSalespaptowl_279300,mse_StoreWeekSalespaptowl_400003,mse_StoreWeekSalespaptowl_270862,mse_StoreWeekSalespaptowl_231720,mse_StoreWeekSalespaptowl_252570,mse_StoreWeekSalespaptowl_659827,mse_StoreWeekSalespaptowl_241565,mse_StoreWeekSalespaptowl_237277,mse_StoreWeekSalespaptowl_291276,mse_StoreWeekSalespaptowl_273920,mse_StoreWeekSalespaptowl_232633,mse_StoreWeekSalespaptowl_233246,mse_StoreWeekSalespaptowl_532639,mse_StoreWeekSalespaptowl_533864,mse_StoreWeekSalestoitisu_6001821,mse_StoreWeekSalestoitisu_648368,mse_StoreWeekSalestoitisu_279300,mse_StoreWeekSalestoitisu_400003,mse_StoreWeekSalestoitisu_270862,mse_StoreWeekSalestoitisu_231720,mse_StoreWeekSalestoitisu_252570,mse_StoreWeekSalestoitisu_659827,mse_StoreWeekSalestoitisu_241565,mse_StoreWeekSalestoitisu_237277,mse_StoreWeekSalestoitisu_291276,mse_StoreWeekSalestoitisu_273920,mse_StoreWeekSalestoitisu_232633,mse_StoreWeekSalestoitisu_233246,mse_StoreWeekSalestoitisu_532639,mse_StoreWeekSalestoitisu_533864,mse_StoreWeekSalescigets_6001821,mse_StoreWeekSalescigets_659827,mse_StoreWeekSalescigets_400003,mse_StoreWeekSalescigets_270862,mse_StoreWeekSalescigets_231720,mse_StoreWeekSalescigets_252570,mse_StoreWeekSalescigets_237277,mse_StoreWeekSalescigets_241565,mse_StoreWeekSalescigets_291276,mse_StoreWeekSalescigets_273920,mse_StoreWeekSalescigets_232633,mse_StoreWeekSalescigets_233246,mse_StoreWeekSalescigets_532639,mse_StoreWeekSalescigets_533864,mse_StoreWeekSalescigets_648368,mse_StoreWeekSalescigets_279300,mse_StoreWeekSalesmustketc_6001821,mse_StoreWeekSalesmustketc_648368,mse_StoreWeekSalesmustketc_279300,mse_StoreWeekSalesmustketc_400003,mse_StoreWeekSalesmustketc_270862,mse_StoreWeekSalesmustketc_231720,mse_StoreWeekSalesmustketc_252570,mse_StoreWeekSalesmustketc_659827,mse_StoreWeekSalesmustketc_241565,mse_StoreWeekSalesmustketc_237277,mse_StoreWeekSalesmustketc_291276,mse_StoreWeekSalesmustketc_273920,mse_StoreWeekSalesmustketc_232633,mse_StoreWeekSalesmustketc_233246,mse_StoreWeekSalesmustketc_532639,mse_StoreWeekSalesmustketc_533864,mse_StoreWeekSalesbeer_modify_6001821,mse_StoreWeekSalesbeer_modify_648368,mse_StoreWeekSalesbeer_modify_279300,mse_StoreWeekSalesbeer_modify_400003,mse_StoreWeekSalesbeer_modify_270862,mse_StoreWeekSalesbeer_modify_231720,mse_StoreWeekSalesbeer_modify_252570,mse_StoreWeekSalesbeer_modify_659827,mse_StoreWeekSalesbeer_modify_241565,mse_StoreWeekSalesbeer_modify_237277,mse_StoreWeekSalesbeer_modify_291276,mse_StoreWeekSalesbeer_modify_273920,mse_StoreWeekSalesbeer_modify_232633,mse_StoreWeekSalesbeer_modify_233246,mse_StoreWeekSalesbeer_modify_532639,mse_StoreWeekSalesbeer_modify_533864,mse_StoreWeekSalesshamp_6001821,mse_StoreWeekSalesshamp_648368,mse_StoreWeekSalesshamp_279300,mse_StoreWeekSalesshamp_400003,mse_StoreWeekSalesshamp_270862,mse_StoreWeekSalesshamp_231720,mse_StoreWeekSalesshamp_252570,mse_StoreWeekSalesshamp_659827,mse_StoreWeekSalesshamp_241565,mse_StoreWeekSalesshamp_237277,mse_StoreWeekSalesshamp_291276,mse_StoreWeekSalesshamp_273920,mse_StoreWeekSalesshamp_232633,mse_StoreWeekSalesshamp_233246,mse_StoreWeekSalesshamp_532639,mse_StoreWeekSalesshamp_533864,mse_StoreWeekSalesfzpizza_6001821,mse_StoreWeekSalesfzpizza_648368,mse_StoreWeekSalesfzpizza_279300,mse_StoreWeekSalesfzpizza_400003,mse_StoreWeekSalesfzpizza_270862,mse_StoreWeekSalesfzpizza_231720,mse_StoreWeekSalesfzpizza_252570,mse_StoreWeekSalesfzpizza_659827,mse_StoreWeekSalesfzpizza_241565,mse_StoreWeekSalesfzpizza_237277,mse_StoreWeekSalesfzpizza_291276,mse_StoreWeekSalesfzpizza_273920,mse_StoreWeekSalesfzpizza_232633,mse_StoreWeekSalesfzpizza_233246,mse_StoreWeekSalesfzpizza_532639,mse_StoreWeekSalesfzpizza_533864
MLP Regressor,0.5358269924643639,0.3542425382231175,0.43748889547776376,0.44822677780505843,0.38251602716053335,0.3171126210988547,0.308641501564653,0.27107671276218104,0.26928958697896166,0.3151746711316995,0.33356499932362316,0.22268788764645256,0.3208859809400149,0.34020649698119715,0.32967819160294354,0.3980415721186287,0.27226582851528247,0.7865884424613725,0.5246225843968897,0.4098114517138452,0.835102745344835,0.42841730304660885,0.5063487181061811,0.41566680397481937,0.3247004076895402,0.8222959497170599,0.6645431041972335,0.7243810563585227,0.8412369854168398,0.4946995048513324,0.8635046298969253,0.7248738005691988,0.5173739901351235,0.5952244149079335,0.7691902618618135,0.9101998225733681,0.5576799650258165,0.47593935348722677,0.45411987816962596,0.4121958016057534,0.29760471642416086,0.5217849659629072,0.630194146119341,0.5804360353284987,0.6444824798229349,0.6965108821332724,0.6819280307274886,0.4413706413742736,0.7549976473646935,0.6768435233419534,0.44681472949433054,0.8407083550107437,0.7552347968900703,0.3242430107227189,0.3057480408282761,0.4135522870268081,0.2990643902585682,0.6454615376308183,0.40706774257777656,0.5409871335304405,0.5473640478987273,0.31795487146236423,0.5225941994707066,0.7479271365237659,0.3807764905365413,0.4578074366881336,0.3085782386368792,0.782104488599465,0.5807037269762066,0.39335832125421355,0.45549898530781874,0.268920151278066,0.21723862845681005,0.49099704040480574,0.37854399326791704,0.43341886213928066,0.43606847179905667,0.35658471554975313,0.4860508883758999,0.36430919837809794,0.39713246568890004,0.7928555942978945,0.822255630417269,0.5692493782159147,0.733706133905861,0.8076396067374002,0.9153767566182116,0.6476173968443335,0.4561320577392003,0.8373754764199927,1.032703530732687,0.9683035568365229,0.8944122632152638,0.6085324954048146,0.9500289262077913,0.67103427481751,0.7607674841152813,0.46238994508046105,0.2465291242850693,0.28282639382744795,0.3448252574580103,0.23615527783779391,0.25171823378633906,0.22767362153137252,0.24452122691108286,0.3964439981014718,0.30055878833764427,0.34353534528661483,0.22790942542247755,0.1968728964517112,0.2977398691364252,0.4790412627671092,0.18580679149013166,0.7989561951762422,0.5952107638370372,0.6674424165622195,0.7551002672132568,0.6450704629045565,0.5855721452027862,0.6062744487868112,0.5248716604295645,0.7035521621505504,0.7322919428414026,0.8670369924439882,0.9099542239923413,0.8171917961745392,0.8292113075740944,0.8201663445774487,0.6358891107969201,0.4363519348541806,0.38094370734842065,0.38657908868737456,0.8059625632438261,0.32767354816626904,0.4526411197483923,0.4132904670574321,0.6004988439243314,0.33659156070966945,0.7266715120190258,0.40476638339629345,0.5819463338897053,0.5501675555654855,0.49248956511537684,0.5480389947033586,0.49959059329189726,0.7890929133997074,0.38622302936146236,0.6086827601423972,0.61355296190445,0.8011150481974898,0.7058593227920538,0.6126106149875337,0.37464751476758124,0.7063776847368657,0.604169135767631,0.5346098664435344,0.30580304845266204,0.3969047139873646,0.9021346389212539,0.7657790179012968,0.38543777381071614
Custom MLP 100,0.540047516974109,0.3667563147739744,0.3599194755833479,0.5277735877618872,0.3561715433208616,0.3384569974573079,0.22368951182514946,0.2798226824466751,0.25769273525682757,0.30475836867442524,0.31481345358821894,0.2626394558116031,0.3443918146160964,0.2843110142393616,0.36315990646964025,0.3912819328648284,0.2795479121339434,0.7944839405063954,0.5286890757884637,0.38882101817847015,0.8590633008757932,0.3805850411701388,0.6155827282439199,0.4803301602550305,0.33952524668388545,0.8318066477050714,0.7742812021339314,0.7069144082689739,0.8757047012900621,0.5088044981359185,0.8039330464707104,0.7595286453949723,0.5007137761447847,0.5906273197227664,0.751815744464532,0.9022637141624008,0.6067418005484431,0.45162061907577256,0.4350164171547674,0.41129984882242,0.28838819887607176,0.47711040724777887,0.5780050253220926,0.5628198306480596,0.6693958141205985,0.6687764725719834,0.689483876308411,0.4009267667430259,0.7386332336489063,0.6910494238657742,0.40735619690247066,0.8325420827117883,0.7483989326317089,0.3324514536883183,0.35258002719836595,0.3655269516303819,0.28500974573937005,0.6206303095555088,0.40923593129144215,0.5335073127771404,0.5822178329253302,0.34372700886269014,0.5183278879865566,0.7887308600193371,0.3799416200637491,0.4295872128692201,0.31314378925403474,0.7459441677206256,0.533392790975469,0.37140420581147404,0.5528159115865539,0.3291727962422288,0.23437551593849748,0.5251823139265428,0.3818957891285544,0.5192381830865898,0.453392043761007,0.3633249581798892,0.5214385582757455,0.38772330275888395,0.40368229040662734,0.6468021799456676,0.8224218580158025,0.5729653308092738,0.609141509783799,0.9275607287136918,0.8291748387194626,0.6415602050201419,0.34581340214767164,0.8169366262972293,1.0410870702338806,0.9677485649998774,1.049979140119161,0.6531152682860187,0.9348739123341823,0.6774096601346666,0.741674713621566,0.42884917051843974,0.18816618297338683,0.30959655454448587,0.3803311646575577,0.28304566040300344,0.270674597313542,0.22944781237382963,0.27684527216526567,0.49529356175800654,0.4174946396806155,0.3307483362693421,0.2514718731181727,0.2347861847813018,0.3579947570592334,0.419875750262442,0.21592814741167937,0.8070841008641609,0.6612815610749357,0.7223742273492711,0.7872334938790486,0.6200550545817304,0.6119695169136841,0.6309035576678359,0.5984325776706767,0.7495100109354549,0.714784013085009,0.8621048846458452,0.8870093939210116,0.7516237534587735,0.8070108152013755,0.7954081448384379,0.6244746468312401,0.45305447293788925,0.3690013108565756,0.4532672955277661,0.7402515109285293,0.3436733185038331,0.46586253959960755,0.39753442509670467,0.5286762222835298,0.32997156180415066,0.8439871834681323,0.38530657394342993,0.5408008452167781,0.5659523817193545,0.5143501981390715,0.534733963992291,0.45073377012676785,0.7138615737577764,0.4755487084351887,0.6829454668906546,0.5937440219434802,0.7320488746121245,0.7137076861548652,0.6117864084733513,0.424913202008322,0.7340146709146957,0.6291372678407192,0.5753536105931031,0.3265437618221151,0.38435558124983726,0.8971470929383096,0.7536198453313749,0.3578163000756436
FONN1 5 100,0.7238652476611793,0.4036308734632839,0.6003395621675026,0.5532512772361093,0.4342747080940844,0.5182877169241774,0.2724403676976591,0.3578931209602698,0.36450256259191444,0.35908007392785307,0.4213109323647747,0.3334633418229175,0.40454497174066056,0.4160796528490067,0.5099436836962857,0.46514044449908776,0.3814532082924679,1.088116346204546,0.6954758432741073,0.7077821241159024,1.2804112101023848,0.4307177253575444,0.5638865757786451,0.4708499518462572,0.3995947349986377,1.1461357270202381,0.8385060916908577,1.2147950776110854,1.2551961484589764,0.8010649532386861,1.296530222275185,1.0907721348640818,0.8195694210203477,0.8119300420086846,0.9851199060582851,1.2103754399060507,0.8242156226768786,0.6309484771295948,0.6091479047285779,0.6937978171007946,0.4427205134856561,0.5671363746276517,0.8980304035048615,0.7069281189119108,0.8540330732965652,0.9143422866975467,0.7542336195756468,0.436787621747861,1.0618322819784811,0.7294153438264397,0.54615535126209,1.2268984629344495,1.0367829457456152,0.41414036679852195,0.3792615918093945,0.47338071237226254,0.36945557151432357,0.9559788515117148,0.5269616467809264,0.9190051368563648,0.7884965014945318,0.4268254169275688,0.6534285053911075,0.7168896442089968,0.46613620996701244,0.663754928444789,0.36019368095372895,1.0729914165404184,0.9886151357285181,0.40309153188689323,0.24303735160121676,0.25398172335569547,0.18495326302566378,0.6671546695971872,0.4463073565192278,0.7385929412787705,0.5981119440657023,0.49810285989043557,0.5847767366513257,0.5343495261940425,0.5649604241337454,0.7600796837464575,1.5473364808737362,0.6879198295129709,1.1078095474665979,1.047601568844006,1.3606192077610748,0.9798764071859672,0.4018952806922981,1.3966979881570178,1.5390769321616422,1.2066626270194012,1.2247711114876811,0.8462299667696307,1.5058996440325056,1.2100227688583118,0.926446676253663,0.580494115734429,0.2243673416040762,0.37336870139814315,0.41933959029334805,0.17365069807150488,0.21026874198634724,0.15969746241594845,0.40377467465789685,0.42374409416538744,0.3296372740521081,0.5292756614744867,0.3164089347214194,0.2754050313859595,0.5168899874423214,0.812401408433502,0.4040115952280071,1.027224443570401,0.8899863564127969,0.8798380665473102,1.0040106132305977,0.878897552798384,0.880467037967998,0.973969616681735,0.7585992176085494,1.0442957348319004,1.0472206290792017,1.0928586270789036,1.2296581346642879,1.0677648225291176,1.237330940840439,1.1620074313549085,0.9253493551149438,0.5001300863940905,0.6364451434878852,0.4422981368504659,0.838009718558547,0.37340115612621105,0.5729615634890702,0.457428045201402,0.713848370532661,0.5102188604932824,0.8175152303377144,0.5984639163282282,0.7661568954031754,0.7844627346785665,0.6817857063583685,0.8361420185953945,0.6327142580751155,0.9928848153973202,0.4967224278295369,0.8651938211082838,0.8008918032756946,1.040098466196571,0.8994733538525324,0.7436154963553967,0.6301898050357828,0.9946181859319967,0.7642460457977778,0.6999691372067589,0.48078034358214855,0.6740776931330672,1.2294657378347758,1.1681022671621748,0.4461607320901118
FONN2 5 100,0.53545976778634,0.31581340756889725,0.37387749591198827,0.47255660070745503,0.37180933295175006,0.3717519080635031,0.34695182838729255,0.29564449785966584,0.24228707812850478,0.30983079115216594,0.30305254465672243,0.24045762014400718,0.3241315897543742,0.29114060957004695,0.3882173389134137,0.4002587919684261,0.28360633003243424,0.8148505784626859,0.566239452421521,0.4119172420653473,0.8616852918268393,0.4534962223161726,0.5749237823005368,0.4613849068428689,0.4016999915959133,0.7831229187939164,0.712914098283502,0.7825076746989698,0.8638981248357972,0.4820673913867017,0.7764626741956793,0.7928935142255937,0.5584810618540793,0.5763960028196304,0.7684944654750054,0.9169485241049401,0.5971458077423982,0.44323227834319334,0.3839067685414814,0.42629590697544584,0.2751509923567287,0.48397515037715755,0.5801290198934079,0.5176519553113628,0.6802304536545926,0.6729553099329879,0.6584055549238359,0.44795167800281116,0.7821300678495804,0.6655070317984509,0.4207493343617713,0.7890743660470085,0.7674610111452562,0.2901369106446938,0.3044006687433307,0.38264139630328864,0.3098269305088002,0.6497746852489599,0.4431329600106372,0.5053518828555584,0.6059845995686938,0.3029666419979192,0.5019572430406007,0.7903936687730895,0.37639254969538893,0.43079970271863727,0.30631859717550125,0.7743233894006112,0.5658525937542082,0.31323217756997324,0.3922539794593513,0.355666694235567,0.2215016938323891,0.5372225420443015,0.3877715645700659,0.43692050662666454,0.44530449918861115,0.3406704650281337,0.4807254444475741,0.3770015419021507,0.3766667385463487,0.6397435840128652,0.8251864858249283,0.5317916138245519,0.6478409330659525,0.7345405183534837,0.8647921138065613,0.6189887708104874,0.3737335561343844,0.8159999779617128,0.98547606947796,0.9587268710446148,1.0425515355087955,0.6086081799084739,0.9083240101418241,0.6980457808845097,0.7346987585380843,0.4727854526438917,0.22321149051966432,0.29516617877150353,0.3302619526639827,0.264583848491884,0.2459532742492161,0.18665626597305005,0.24643391419727045,0.4065619263155503,0.30455779860777177,0.33812247385130834,0.27330836607223224,0.20398258382651363,0.31188655755699085,0.4539778544048276,0.1866366196004855,0.7891129857507739,0.6056384344961545,0.7118404867479649,0.7393736332276688,0.6877087227923633,0.5739900030174298,0.6290077216348066,0.5467535626003248,0.7217324205904487,0.7224657083093751,0.8678192040194919,0.8513125479763783,0.8425029547694235,0.8470252742231859,0.7967779353652925,0.6698872634647274,0.4608304650978322,0.3554037861100884,0.42571706732071135,0.8725811561525747,0.3841314259688372,0.5263597543615216,0.3859103604112066,0.5744836253993463,0.3559753437786796,0.7015735778500366,0.3960606372756169,0.5407751223775832,0.5450012171129759,0.4552985800422961,0.5689575297532354,0.4712275924782022,0.7490717522361977,0.4322528412260699,0.6101728986974466,0.6232813188181405,0.7570317291353416,0.7039588574007668,0.6027520256619029,0.40075259703759175,0.6684578672448733,0.6034910770177662,0.6367103852662359,0.32857642851019386,0.41450647787331424,0.9536136257449093,0.7883859125718479,0.35525899442504294
TREENN1 100,0.6984941217748055,0.45254636483249194,0.5866882404839957,0.672623202088824,0.4135630412151309,0.5304328133683376,0.3145690564332384,0.3637194853898905,0.3444233036182066,0.43799196687881786,0.3646428712064969,0.28067580895592376,0.4501097240048805,0.3947182150038279,0.4901218473568328,0.5863710945585847,0.4185503624300602,1.0390752428186019,0.6335455916948922,0.5474925549340719,1.2816766360402565,0.4109415773060506,0.5390931302644014,0.5117492153001555,0.5603688988574882,0.9925703307068613,0.8844754011826048,1.0499635043284345,1.2387978735505127,0.5754514988954047,1.1835349351595277,1.0033802415085389,0.690963191542186,0.7116873447869476,1.0115017054022042,1.1513419102274252,0.6915937589415546,0.6353401700251179,0.5764716477610129,0.6581189568310895,0.3878656338209538,0.5548145749388165,0.7228491597710436,0.6912242279158202,0.7916446412446966,1.0078400336135782,0.8660047631910182,0.5563604015847166,1.1432367973567559,0.8915732091620161,0.5823824473535602,1.0504810340968316,0.9936990599685803,0.35706289253430556,0.31697923490469126,0.5110018392930519,0.30047821606632386,0.7981753321958995,0.5678393922939674,0.5886933564880857,0.8056573554094039,0.3868554092278337,0.6508865096068169,0.7724008278184249,0.522144025425785,0.5339466751854951,0.4616432160335199,0.8840779351086887,0.6892223748253984,0.4293724451665432,0.3661830755593304,0.30352208225772853,0.3218192495953953,0.6588202752984722,0.5023229526017883,0.7342926557890286,0.5238797929489696,0.4639396943750261,0.6874284574227132,0.5804457562080713,0.5564865569565921,0.7644035976001455,1.2411094278672157,0.7688271851735304,0.9731725755667187,0.8451480872749603,1.0291431437442913,0.9252615039609692,0.5218939424067504,1.0616616077438434,1.2925544258748687,1.1689115236290126,1.0001474941712798,0.9770771097208973,1.3898569399760288,0.9945180971593761,0.823377425766639,0.6290450546746552,0.2768593061436967,0.38002367238592066,0.4388648409311318,0.3086168590511171,0.42596999096316857,0.2082951298082313,0.29714513166238987,0.5228465196350425,0.3936913726781676,0.522209563182382,0.354647707869242,0.22283443720500098,0.3958907246871574,0.6578224613960647,0.30762778959338977,1.1057095009107532,0.9015600292880694,0.9931607666704206,0.9274356816553556,0.9014680934137405,0.8387840250263864,0.8869651468325734,0.7802641327544537,0.9512529245863599,1.0134021009725904,1.1810016445820466,0.9868127724094664,1.0364914052642777,1.1081680170272767,0.9897474253240615,0.8170216586931238,0.5772880018997011,0.4447119184060642,0.5266453169814297,0.8511958578337773,0.3688520332665055,0.5722861945376533,0.45466721592951725,0.6309848114726232,0.4220546456027563,0.8758328248231096,0.6081020900760683,0.6992339802916137,0.6692809369613224,0.8238326231943572,0.6945028326762899,0.6462513659433007,0.9148278106420069,0.5838488060713737,0.9317890744949097,0.8436995461690225,1.124645821343214,0.9906869445918833,0.8828286412721257,0.5613359453233866,1.0051095408589519,0.8688259744740513,0.6437056586675519,0.47565007356133204,0.5535257592648544,1.1916060583255719,1.0992786766842726,0.4868362409074242
TREENN2 100,0.5402550795092043,0.3675540432375591,0.3319187375592228,0.47019399704432985,0.35023265122019237,0.31719285803105557,0.18876667839440778,0.36100533742946644,0.3019364407929988,0.2988465740749162,0.3901170781507993,0.21082506364699016,0.3492098612740345,0.36367100124065194,0.3525428792013819,0.39786486003047183,0.25654994241807405,0.8466800635794878,0.5023445133799279,0.41450254401083575,0.888845151795436,0.36975783667916806,0.46689212614903963,0.4821246763504317,0.4906768065996654,0.8330169445136903,0.7196786933600109,0.7702907642865154,0.9088206024210418,0.49955073725131827,0.7827821180731089,0.7851946689628736,0.5694863400815945,0.5691226831219284,0.7706925952125462,0.946618415536396,0.6788948687138843,0.4578452211915801,0.45242594440610784,0.4391360436299377,0.3010881750359798,0.47038591798842555,0.5800570576451526,0.5500170088377591,0.699734283464742,0.6699970781164071,0.7049975133644601,0.4666300154307108,0.740379805995072,0.6828750968757353,0.42635824185114063,0.8487490897896116,0.778522680125631,0.2994099305925916,0.30962753427442247,0.41086946140556196,0.28197988175016314,0.6546011073623996,0.4944496422359809,0.5276489495620332,0.5252826236832855,0.3516135026720814,0.5492131204841856,0.7321186010680594,0.4031351303311609,0.4546520074966505,0.3195047789525025,0.7843648486917821,0.5514134959018242,0.28959036741017946,0.5120999839298539,0.2701425099530331,0.23922217805837595,0.486408584095673,0.43292587765414386,0.4494830423661121,0.4329920242994697,0.36680696631322596,0.4695099006788723,0.39429032273796766,0.3876661393148286,0.6715944029598646,0.8481766780026379,0.5589194202367398,0.6705100267095485,0.6782939103551145,0.849930225720243,0.6240698017070662,0.4017615989341789,0.8264705712786709,1.03669385681773,0.9839228792278185,1.068519895089636,0.638858323796921,0.9251037228550455,0.6578392374289216,0.7340142412725509,0.45750881309493624,0.2642392760626818,0.2765747474354051,0.3325175260178016,0.25516816663748043,0.2745623733969434,0.21924600014202386,0.2382871937782005,0.40572837817529406,0.3442274186375825,0.3599895407664374,0.2588536260295107,0.20404974382718338,0.3381637151493935,0.44550350077056233,0.2099020518272378,0.8226641354350717,0.6318586799359017,0.6758541538653272,0.8336383258730535,0.6236989257163191,0.5553963348008504,0.603967892593918,0.5921464968368036,0.7658935237223009,0.7170824677835241,0.8609086391763399,0.8934896504932845,0.8006145310822006,0.7909599406578561,0.7776825723468042,0.6568113793175067,0.48526313708572244,0.40154929596261724,0.40554926508718464,0.6926343126326286,0.36320036249852894,0.5263312554010241,0.38357908138106067,0.6856780452374274,0.37788141002413594,0.7524693741835129,0.39225736718545834,0.5313998207424857,0.5261574823574636,0.4999265366499893,0.5491969196722382,0.44925772017678955,0.7575163662661578,0.44163607613030764,0.6322442692533816,0.5789182194746763,0.7740403980622383,0.7208075530159932,0.5750303838189613,0.36149433939747533,0.7416413238356159,0.6142132533549549,0.5807761191620315,0.31720858141598834,0.4044724045684506,0.9206054719593342,0.7272382370018476,0.3541469838482425
