Model,R² Score,MAE,MSE,Time (s)
TREENN1,-0.017030241228838117,1.930763928716793,5.687191811008518,37.24215817451477
TREENN2,0.03408447180942675,1.9152904214507296,5.401360411283344,82.92845249176025
TREENN3,0.21415328646081244,1.7333385006780555,4.394422911700236,62.171109676361084
FONN1,-0.0009132926301798072,1.9218613405217448,5.597066488896182,199.10627794265747
FONN2,0.206245072457111,1.751306931360886,4.438645323284784,212.12222003936768
FONN3,-13.606937116819568,7.599713722758097,81.68139922203238,173.70329189300537
PureMLP,0.2616374644053131,1.6958225175812884,4.051540239826411,36.078373193740845
