model,mean_fit_time,mean_score_time,mean_train_score,mean_test_score
Tree,0.006197770436604817,0.0018610954284667969,-2.9906845428614504,-6.9302473138999
Ensemble_sk_identity 10,0.033431053161621094,0.0025053819020589194,-1.2784317439967083,-5.333728522337307
MLP_sk_identity 10,0.23740696907043457,0.0017990271250406902,-5.066380086752389,-15.690927338117362
FONN1_sk_identity 5 10,0.4451579252878825,0.003307342529296875,-1.4817974030356968,-6.77404031488689
FONN2_sk_identity 5 10,0.6588625907897949,0.003206332524617513,-7.805305857112255,-14.49496365058325
Ensemble_sk_standard 10,0.04852763811747233,0.0031582514444986978,-1.373318316917155,-5.304583657996288
MLP_sk_standard 10,0.3706953525543213,0.0025289058685302734,-2.5280659629874944,-26.534904506606008
FONN1_sk_standard 5 10,0.2677115599314372,0.003556330998738607,-1.327967965525142,-5.7742357892855765
FONN2_sk_standard 5 10,0.9160425662994385,0.002853552500406901,-4.5534405926733195,-40.45116564059111
