model,mean_fit_time,mean_score_time,mean_train_score,mean_test_score,mse
Tree,0.19761481285095214,0.006145477294921875,0.8586112108544688,0.3396926041130818,0.19898891244048447
Ensemble_sk 10,1.7083069324493407,0.011424493789672852,0.9642564791833778,0.6307685839291121,0.050200682067729444
MLP_sk_drop_identity 10,47.84351744651794,0.027804231643676756,0.5108473765405233,0.49813744251244474,0.6715831222167574
FONN1_sk_drop_identity 5 10,130.7531364440918,0.14754791259765626,0.9187874328276507,0.58363938120652,0.07566480234454617
FONN2_sk_drop_identity 5 10,158.25569038391114,0.01772160530090332,-12.914895878270556,-15.934035158220922,386.1775559523112
TREENN1_sk_drop_identity 10,50.63326730728149,0.0351806640625,0.8546989976575077,0.4382099130632944,0.2156788056232049
TREENN2_sk_drop_identity 10,73.12248883247375,0.016015291213989258,-1.2349804800190065,-2.4016723571018868,0.7036249141112005
FONN1_TrANN_drop_identity 5 10,160.12366847991944,0.2550490856170654,-0.005908820961599126,-0.09329726971864294,1.3338913152724556
FONN2_TrANN_drop_identity 5 10,166.15828647613526,0.36115107536315916,0.637772607825361,0.46096318349293275,0.49276615068670604
FONN3_TrANN_drop_identity 5 10,153.37655568122864,0.28988494873046877,-1.2361288969619975,-1.8536441057480235,3.001888256899993
TREENN1_TrANN_drop_identity 10,96.519646692276,0.5032413482666016,-0.0031995955729627657,-0.09066146058483215,1.3565337115284517
TREENN2_TrANN_drop_identity 10,128.16395778656005,0.18598647117614747,0.604573665617299,0.4554558015059252,0.7109233527231571
TREENN3_TrANN_drop_identity 10,82.10555295944214,0.10974259376525879,0.6313054700454003,0.4033948181239939,0.5347089226045373
MLP_sk_drop_standard 10,47.60102729797363,0.019396257400512696,0.7645598889772749,0.675673366867598,0.33524972439154
FONN1_sk_drop_standard 5 10,826.0306106090545,1.0630311965942383,0.9591226134668872,0.5904751878244524,0.04967057767382656
FONN2_sk_drop_standard 5 10,153.67542781829835,0.018509101867675782,-3.2548638510555987,-1.2013176291221104,10.382050259252654
TREENN1_sk_drop_standard 10,48.22104163169861,0.03183202743530274,0.8764602423528421,0.5616082478601935,0.16274456829806191
TREENN2_sk_drop_standard 10,72.61218724250793,0.02198319435119629,0.4318988226110977,0.33900056760176245,0.40110595198775767
FONN1_TrANN_drop_standard 5 10,225.50760312080382,0.14117136001586914,0.5728492664186111,0.49022112708541493,0.6136095056344955
FONN2_TrANN_drop_standard 5 10,223.27967476844788,0.23882203102111815,0.6422545575254434,0.493660066333567,0.484475992636078
FONN3_TrANN_drop_standard 5 10,221.11389875411987,0.4463827610015869,-0.07713919875602829,-0.7156642858503789,1.504761389878909
TREENN1_TrANN_drop_standard 10,149.65300207138063,0.4062235355377197,0.5471976435725129,0.4209230749647414,0.5946406174509578
TREENN2_TrANN_drop_standard 10,182.44770846366882,0.13464317321777344,0.6029773022294735,0.5055859965315989,0.5123125876574894
TREENN3_TrANN_drop_standard 10,148.27985434532167,0.21695232391357422,0.6059871003565775,0.421458916831139,0.6251644420271322
