Model,R² Score,MAE,MSE,Time (s),Epochs,Final LR
TREENN1,0.7589275307259609,0.26044548247329224,0.20350021304171734,18.703527450561523,2000,0.01
TREENN2,0.806319612687075,0.24719688994080735,0.16349440564023382,6.06223201751709,608,0.01
TREENN3,0.7343021823627733,0.26503518458177894,0.22428758728327208,18.58135199546814,2000,0.01
FONN1,0.8280289527954218,0.30837051778146324,0.1451685663175293,54.79208588600159,2000,0.01
FONN2,0.8749691371220909,0.23535484373915652,0.10554422621987995,3.665273904800415,149,0.01
FONN3,-17.866963157953478,2.528135203233266,15.926459929894735,40.36348056793213,1489,0.01
PureMLP,0.7953390653483893,2.2991518448738177,15.008560603130249,0.18288326263427734,25,0.01
