model,mean_fit_time,mean_score_time,mean_train_score,mean_test_score,mse
Tree,0.03681340217590332,0.005554723739624024,-7.45558924336878,-32.12296505532906,6.3387944664031615
Ensemble_sk 10,0.10001087188720703,0.011364459991455078,-2.339257216966141,-20.79239053775966,1.8869911067193674
MLP_sk_drop_identity 10,4.016437768936157,0.02422647476196289,-41.60091278929195,-56.02926849235104,27.1919192053854
FONN1_sk_drop_identity 5 10,7.825350141525268,0.02862691879272461,-3.569718895130849,-24.194583942428235,4.1716985141622045
FONN2_sk_drop_identity 5 10,3.4098977565765383,0.011114978790283203,-103.10243611381972,-95.46982960519298,68.87241510945452
TREENN1_sk_drop_identity 10,3.305475425720215,0.014714956283569336,-14.530187256048446,-29.659530714941873,8.64670137977951
TREENN2_sk_drop_identity 10,13.193891906738282,0.019091033935546876,-39.699930319903125,-63.98261439561818,46.894566332107196
FONN1_TrANN_drop_identity 5 10,3.3162982940673826,0.015162420272827149,-78.81004966236794,-75.23285821328167,79.13753819621769
FONN2_TrANN_drop_identity 5 10,2.4458899974822996,0.0039459228515625,-7.002520621765079,-31.42102594925431,6.99122718174447
FONN3_TrANN_drop_identity 5 10,3.3230686664581297,0.014030885696411134,-42.20774021899098,-56.0031025888055,49.8599337948036
TREENN1_TrANN_drop_identity 10,1.3700778484344482,0.01303567886352539,-74.19239421560113,-77.1899866709621,77.85153190581767
TREENN2_TrANN_drop_identity 10,1.2458059310913085,0.008367395401000977,-7.220573329760194,-36.938012858541654,7.367777438681333
TREENN3_TrANN_drop_identity 10,1.1649827480316162,0.006495332717895508,-59.40768564941563,-69.7867080745712,58.24910693423101
