Model,R² Score,MAE,MSE,Time (s)
TREENN1,0.39584750532741353,0.6601385201190332,0.7626483827894806,15.700542783737182
TREENN2,0.4952880280056261,0.588144089901452,0.6280638525685109,25.683961343765258
TREENN3,0.3900792061869757,0.6548974398788039,0.752380390976573,13.250078725814818
FONN1,0.45032253872200984,0.6281627268797138,0.6759353984881099,22.548346185684203
FONN2,0.4795707342826622,0.5895574317581961,0.6426510754649484,101.66631164550782
FONN3,-5.225486547417523,2.1607836868232457,7.648880029138619,128.37543396949766
PureMLP,0.6757699768784227,0.4622909040578205,0.4083029064998378,71.56126546859741
