Model,Fold,Test R2,Test MAE,Test MSE,Fit Time,Score Time
TREENN1,0,0.45848745273474434,0.5681968409328917,0.5817319069799158,1.1290240287780762,0.0049896240234375
TREENN1,1,-0.13095938849214184,0.8718649927424037,1.3238593641626488,1.3035404682159424,0.00661015510559082
TREENN1,2,0.3113362893991689,0.7276667833847709,0.9906638258770785,1.4198095798492432,0.006252765655517578
TREENN1,3,0.17311881211716862,0.6997796261125636,0.9700841081791499,1.7109413146972656,0.00902700424194336
TREENN1,4,-0.5544711094000456,1.230503558968776,2.265110841823784,1.8464553356170654,0.013313770294189453
TREENN2,0,0.26301930270156604,0.7446928059864635,0.7917179179170495,4.11873722076416,0.006956815719604492
TREENN2,1,0.36548289262380074,0.6103423788757792,0.7427423326325877,5.330477952957153,0.013302803039550781
TREENN2,2,0.5206759601559168,0.6158452426792034,0.6895223021589307,6.661221742630005,0.009063959121704102
TREENN2,3,0.4054545135484485,0.6290194603602258,0.6975114882865355,6.741121292114258,0.014802694320678711
TREENN2,4,0.6411605746447886,0.5289465978989719,0.5228859307392426,6.631549119949341,0.012056827545166016
TREENN3,0,0.40502270257276973,0.6137711361342018,0.6391676048691008,4.496307134628296,0.012282609939575195
TREENN3,1,0.024088466626441485,0.7990937142781612,1.1423660612371245,4.5858118534088135,0.015955686569213867
TREENN3,2,0.12354917403423271,0.8662713441472483,1.2608013389972936,4.112889289855957,0.015842437744140625
TREENN3,3,0.05397495833083299,0.7857330354053977,1.1098618184947968,2.979337453842163,0.007030487060546875
TREENN3,4,-0.13424106713641026,1.0214288698754113,1.6527690497921492,4.005674362182617,0.023290395736694336
FONN1,0,0.32105575911157536,0.6813544635470972,0.7293709628330824,9.684223175048828,0.03960561752319336
FONN1,1,0.34031875148449964,0.6540210088062465,0.7721985485032478,9.627447366714478,0.02911829948425293
FONN1,2,0.19977568552929104,0.7944933957913486,1.1511471691194093,11.346707820892334,0.027764081954956055
FONN1,3,0.31775979262764786,0.6777373806094874,0.8003935666106211,10.48440146446228,0.03782391548156738
FONN1,4,0.015192110864214348,0.9086410588310623,1.4350212193110559,10.292060852050781,0.034635066986083984
FONN2,0,0.4560009293526174,0.6116636505740825,0.5844031100686344,10.07545018196106,0.02539682388305664
FONN2,1,0.5312242663127273,0.5170543488819593,0.5487315911153287,12.938114404678345,0.03246116638183594
FONN2,2,0.5889585537848192,0.5647172640410605,0.5912957012738619,12.416057109832764,0.028739213943481445
FONN2,3,0.25051964870942667,0.710066824095731,0.8792786543385912,13.171830654144287,0.029237031936645508
FONN2,4,0.4288472738726973,0.688637494227983,0.8322600686914547,7.877279996871948,0.02833700180053711
FONN3,0,-8.190215620250028,2.4947420161684146,9.872793687467123,10.218952655792236,0.0366365909576416
FONN3,1,-4.85935520203863,2.0438159215636262,6.858745177858229,10.397967338562012,0.044801950454711914
FONN3,2,-3.958674528571862,2.2699654064463464,7.133205081284692,10.547216176986694,0.04973006248474121
FONN3,3,-8.066035834469368,2.494453200229521,10.636131787832683,9.839186191558838,0.040205955505371094
FONN3,4,-5.055216381172596,2.2941291687891106,8.823410220777067,9.724815845489502,0.04236197471618652
PureMLP,0,0.6547184895287832,0.43764853248783003,0.37092634795946183,10.875444412231445,0.026360273361206055
PureMLP,1,0.6386933297837867,0.46530799614168467,0.4229322675661077,11.405646085739136,0.01343393325805664
PureMLP,2,0.7275594519749871,0.4364609659501025,0.39191406701978393,11.379056453704834,0.020366191864013672
PureMLP,3,0.6594795392639723,0.4479391513818898,0.3994932915521483,9.848188877105713,0.0373690128326416
PureMLP,4,0.7145679701143538,0.4658069707837407,0.41591971802375954,10.77269458770752,0.020406723022460938
