Model,R² Score,MAE,MSE,Time (s)
TREENN1,0.45976635138923083,0.6222062224836995,0.6720287437202827,4.290799474716187
TREENN2,0.5223994816721664,0.5822105534359545,0.6007257431880249,6.01927752494812
TREENN3,0.3550239844609163,0.6732388483840634,0.8046668648821189,3.817810535430908
FONN1,0.5124607538446886,0.590223678057669,0.6177849290606543,7.6807249069213865
FONN2,0.5080100566582438,0.5856033177147244,0.616460135435231,8.737915325164796
FONN3,-4.42450605215631,1.980658506662514,6.772432387503498,6.780808925628662
PureMLP,0.6757699768784227,0.4622909040578205,0.4083029064998378,12.792928791046142
