Model,R² Score,MAE,MSE,Time (s)
TREENN1,0.7206964946971604,3.203034741580615,20.482382693796552,12.044440269470215
TREENN2,0.7387599969357126,2.474087322329417,19.157717737518556,16.327996969223022
TREENN3,0.7230241400101229,2.5391790336709734,20.31168765714162,12.52029013633728
FONN1,0.825900090207691,2.6277204646760897,12.767405032940983,97.58606386184692
FONN2,0.8020301966604363,2.6789110489881764,14.517874630395346,76.75196814537048
FONN3,0.7865393436129997,2.911617558171504,15.653877488744488,100.42343020439148
PureMLP,0.2884772466450567,5.789022928392387,52.178655308167365,0.018181324005126953
