Model,R² Score,MAE,MSE,Time (s)
TREENN1,0.05150241127177888,0.8196023604282813,1.2262900094045155,1.4899928092956543
TREENN2,0.4391586487349041,0.6257692971601287,0.6888759943468693,5.907858085632324
TREENN3,0.09447884688557333,0.8172596199680842,1.160993174678093,4.050884342193604
FONN1,0.23882041992344566,0.7432494615170484,0.9776262932754832,10.320757532119751
FONN2,0.4511101344064576,0.6184279163641633,0.6871938250975742,11.324580717086793
FONN3,-6.025899513300496,2.3194211426394036,8.664857191043959,10.188374948501588
PureMLP,0.6790037561331767,0.4506327233490495,0.40023713842425235,10.879793310165406
