Model,R² Score,MAE,MSE,Time (s)
TREENN1,0.7726735079227396,3.3233836854411716,19.748626148157467,0.22403454780578613
TREENN2,0.9223596429664498,2.0024205185941315,6.744882090310616,0.30478906631469727
TREENN3,0.9199342452379594,2.0255309161244286,6.955584646633294,0.23975515365600586
FONN1,0.8902648597826999,2.352308960462033,9.533065150763738,1.7651023864746094
FONN2,0.6294145967776155,4.824010107261071,32.19401538873762,1.3868489265441895
FONN3,0.9028410546211948,2.2502560704808627,8.440528297877211,1.728898286819458
PureMLP,0.5373375538434797,3.9306965236587548,33.92878750286686,0.1471104621887207
