model,mean_fit_time,mean_score_time,mean_train_score,mean_test_score,mse
Tree,0.09170794486999512,0.0018893241882324218,-10.293344065517664,-31.319256455057268,7.848379446640315
Ensemble_sk 10,0.1596961498260498,0.015677356719970705,-1.9891736964918714,-20.994160578528444,1.6404772727272727
MLP_sk 10,7.042080354690552,0.012056493759155273,-25.187564971281567,-41.74693796228071,40.507481299250465
FONN1_sk 5 10,6.347983932495117,0.02468099594116211,-2.614444645837623,-23.158011179705465,2.602536966460287
FONN2_sk 5 10,6.1066090106964115,0.010625028610229492,-63.14120632000383,-76.28730569909109,89.3721209359675
MLP_sk_target_standard 10,4.690150880813599,0.009177207946777344,-10.401555643118375,-22.04162573067297,11.809548790663076
FONN1_sk_target_standard 5 10,2.731308650970459,0.02735104560852051,-2.87145127358535,-21.2789573960075,2.83295364562527
FONN2_sk_target_standard 5 10,11.183904695510865,0.008802223205566406,-15.863103320116284,-30.913225573476222,9.25712594991519
FONN1_TrANN 5 10,9.804318380355834,0.015947961807250978,-66.92884618724321,-71.93763487788394,67.90823199151414
FONN2_TrANN 5 10,7.885039138793945,0.018079185485839845,-6.6706942320330045,-31.865712515875504,8.655198484208782
FONN3_TrANN 5 10,9.29425106048584,0.015731430053710936,-38.51363368587594,-56.50534800914322,42.91595146138316
TREENN1_TrANN 10,4.149499845504761,0.010647439956665039,-65.05330263032855,-72.93597220577395,76.43451405798065
TREENN2_TrANN 10,3.830922794342041,0.009028959274291991,-5.972171871358876,-37.169572970618766,6.746946406701005
TREENN3_TrANN 10,3.662896013259888,0.01226792335510254,-53.48358068327565,-67.2321789100641,61.62607711300296
